file_id,file_keyword,importance_score,importance_label
L00002,contract,2,Low
L00003,bond,1,Low
L00005,non disclosure,6,Medium
L00006,non-disclosure,2,Low
L00007,terms and conditions,9,High
L00008,terms & conditions,6,Medium
L00009,t&c,6,Medium
L00010,legal notice,9,High
L00011,affidavit,10,High
L00012,court,10,High
L00013,case,9,High
L00014,lawyer,5,Medium
L00015,attorney,1,Low
L00016,clause,10,High
L00017,deed,3,Low
L00018,lease,8,High
L00019,rental,1,Low
L00020,jurisdiction,6,Medium
L00021,liability,9,High
L00022,indemnity,4,Medium
L00023,settlement,9,High
L00024,arbitration,10,High
L00025,lawsuit,10,High
L00026,litigation,9,High
L00027,plaintiff,2,Low
L00028,defendant,6,Medium
L00029,verdict,6,Medium
L00030,judgment,7,Medium
L00031,witness,1,Low
L00032,testimony,4,Medium
L00033,subpoena,4,Medium
L00034,summons,3,Low
L00035,petition,10,High
L00036,memorandum,6,Medium
L00037,mou,4,Medium
L00038,legal document,8,High
L00039,hereby,7,Medium
L00040,whereas,4,Medium
L00041,aforementioned,8,High
L00042,undersigned,1,Low
L00043,party of,4,Medium
L00044,in witness whereof,3,Low
L00045,executed,5,Medium
L00046,notary,1,Low
L00047,undertaking,10,High
L00049,contract,5,Medium
L00050,bond,8,High
L00052,non disclosure,3,Low
L00053,non-disclosure,10,High
L00054,terms and conditions,5,Medium
L00055,terms & conditions,3,Low
L00056,t&c,2,Low
L00057,legal notice,5,Medium
L00058,affidavit,7,Medium
L00059,court,5,Medium
L00060,case,4,Medium
L00061,lawyer,7,Medium
L00062,attorney,9,High
L00063,clause,5,Medium
L00064,deed,8,High
L00065,lease,9,High
L00066,rental,3,Low
L00067,jurisdiction,4,Medium
L00068,liability,10,High
L00069,indemnity,9,High
L00070,settlement,4,Medium
L00071,arbitration,10,High
L00072,lawsuit,5,Medium
L00073,litigation,6,Medium
L00074,plaintiff,2,Low
L00075,defendant,2,Low
L00076,verdict,10,High
L00077,judgment,10,High
L00078,witness,1,Low
L00079,testimony,3,Low
L00080,subpoena,2,Low
L00081,summons,9,High
L00082,petition,4,Medium
L00083,memorandum,10,High
L00084,mou,4,Medium
L00085,legal document,10,High
L00086,hereby,9,High
L00087,whereas,9,High
L00088,aforementioned,7,Medium
L00089,undersigned,3,Low
L00090,party of,1,Low
L00091,in witness whereof,8,High
L00092,executed,1,Low
L00093,notary,10,High
L00094,undertaking,7,Medium
